name,comment,price,src,是否买流量,,分组
 R语言数据可视化：科技图表绘制,0,64.5,//img3m4.ddimg.cn/86/15/29667614-1_b_1704950875.jpg,FALSE,1,0
 R语言实战（第3版）,0,59.9,//img3m5.ddimg.cn/77/21/29580485-1_b_1.jpg,FALSE,1,0
 C++ Primer Plus 第6版 中文版,0,59,//img3m9.ddimg.cn/31/36/28979509-1_b_20.jpg,FALSE,1,0
 矩阵力量：线性代数全彩图解+微课+Python编程,0,129,//img3m7.ddimg.cn/15/7/29580027-1_b_3.jpg,FALSE,1,0
 算法竞赛入门经典（第2版）,0,39.9,//img3m7.ddimg.cn/46/2/29338597-1_b_1700635308.jpg,FALSE,1,0
 C Primer Plus 第6版 中文版 C语言入门经典教程,0,54,//img3m8.ddimg.cn/74/7/28518608-1_b_16.jpg,FALSE,1,0
 中小学C++编程项目学习创意课堂（微课版）,1,39.9,//img3m5.ddimg.cn/72/31/29365155-1_b_3.jpg,FALSE,1,0
 深度学习入门 基于Python的理论与实现,1,34.9,//img3m5.ddimg.cn/42/27/29248305-1_b_4.jpg,FALSE,1,0
 Python编程三剑客第3版：Python编程从入门到实践第3版+快速上手第2版+极客项目编程（当当套装共3册）,2,133.9,//img3m0.ddimg.cn/97/7/29574070-1_b_2.jpg,FALSE,1,0
 从零开始大模型开发与微调：基于PyTorch与ChatGLM,2,44.5,//img3m5.ddimg.cn/44/3/29643515-1_b_1704784401.jpg,FALSE,1,0
 大规模C++软件开发 卷1：过程与架构,3,74.9,//img3m3.ddimg.cn/84/36/29637813-1_b_1697593453.jpg,FALSE,1,0
 数学要素 全彩图解 + 微课 +Python 编程,4,119,//img3m1.ddimg.cn/93/32/29560701-1_b_2.jpg,FALSE,1,0
 Scratch编程入门与算法进阶 第2版,5,39.5,//img3m6.ddimg.cn/80/26/28548116-1_b_3.jpg,FALSE,1,0
 小学生Python创意编程（视频教学版）,8,44.5,//img3m6.ddimg.cn/55/29/29666296-1_b_1704946668.jpg,FALSE,1,0
 Python数据结构与算法分析（第3版）,9,49.9,//img3m4.ddimg.cn/34/13/29623804-1_b_1693974476.jpg,FALSE,1,0
 Java图解创意编程：从菜鸟到互联网大厂之路,12,74.5,//img3m4.ddimg.cn/19/28/29504494-1_b_2.jpg,FALSE,1,0
 Python量化交易实战——使用vn.py构建交易系统,16,39.5,//img3m4.ddimg.cn/80/16/29666024-1_b_1703038339.jpg,FALSE,1,0
 算法图解,18,34.9,//img3m2.ddimg.cn/30/21/29283042-1_b_10.jpg,FALSE,1,0
 高级算法和数据结构,23,74.9,//img3m7.ddimg.cn/20/17/29654777-1_b_1703749242.jpg,FALSE,1,0
 STL源码剖析,26,39.5,//img3m7.ddimg.cn/46/2/23807467-1_b_1693990223.jpg,FALSE,1,0
 SPSS 28.0 统计分析从入门到精通（升级版）,28,44.5,//img3m9.ddimg.cn/22/16/29386489-1_b_5.jpg,FALSE,1,0
 小学生Scratch创意编程（视频教学版）,33,54.5,//img3m2.ddimg.cn/28/10/29664982-1_b_1704937729.jpg,FALSE,1,0
 啊哈！算法,36,29.9,//img3m6.ddimg.cn/80/7/29278736-1_b_7.jpg,FALSE,1,0
 深入浅出 WPF,54,22.5,//img3m7.ddimg.cn/49/9/20925877-1_b_2.jpg,FALSE,1,0
 程序员数学 用Python学透线性代数和微积分,64,64.9,//img3m4.ddimg.cn/91/35/29342404-1_b_6.jpg,FALSE,1,0
 C++从入门到精通（第5版）,65,44.9,//img3m8.ddimg.cn/41/13/29336018-1_b_3.jpg,FALSE,1,0
 C#从入门到精通（第7版）,70,49.9,//img3m1.ddimg.cn/10/3/29594971-1_b_1688437611.jpg,FALSE,1,0
 深入理解Go并发编程：从原理到实践，看这本就够了,71,79,//img3m2.ddimg.cn/21/12/29660322-1_b_1701930237.jpg,FALSE,1,0
 CST仿真设计理论与实践,84,49,//img3m4.ddimg.cn/92/18/29575154-1_b_1690800405.jpg,FALSE,1,0
 代码大全2 最新中文纪念版 赠全彩检查清单册 软件开发奠基之作编程最佳实用指南,85,128,//img3m2.ddimg.cn/79/25/29423572-1_b_6.jpg,FALSE,1,0
 C语言项目开发实战入门（全彩版）,87,29.9,//img3m4.ddimg.cn/31/27/28485994-1_b_1705308875.jpg,FALSE,1,0
 Java从入门到精通（第7版）,89,44.9,//img3m9.ddimg.cn/53/15/29600459-1_b_1689667221.jpg,FALSE,1,0
 Head First Java 实战（第三版）,91,64,//img3m6.ddimg.cn/75/21/29555436-1_b_4.jpg,FALSE,1,0
 大话设计模式【Java溢彩加强版】,92,64.5,//img3m7.ddimg.cn/97/10/29472397-1_b_6.jpg,FALSE,1,0
 Python青少年趣味编程100例 视频实例教学 零基础学Python入门教程自学教材 少儿趣味编程 小学生趣味编程 教,94,44.9,//img3m3.ddimg.cn/13/34/29460433-1_b_4.jpg,FALSE,1,0
 Qt 6 C++开发指南,96,69.9,//img3m7.ddimg.cn/48/5/29511057-1_b_3.jpg,FALSE,1,0
 科研论文配图绘制指南 基于Python,99,54.9,//img3m1.ddimg.cn/29/13/29584991-1_b_19.jpg,FALSE,1,0
 大象——Thinking in UML（第二版）,100,34,//img3m8.ddimg.cn/47/19/22625408-1_b_4.jpg,FALSE,1,0
 新印象 Unity 2020游戏开发基础与实战,104,64.9,//img3m3.ddimg.cn/83/19/29307053-1_b_5.jpg,FALSE,1,0
 Python自动化办公从入门到精通——让Excel、Word、PPT飞起来,105,34,//img3m8.ddimg.cn/66/8/29235558-1_b_6.jpg,FALSE,1,0
 重构 改善既有代码的设计 第2版 平装版,111,49.5,//img3m7.ddimg.cn/87/7/27851757-1_b_35.jpg,TRUE,0,0
 架构师修炼之道,118,49.9,//img3m7.ddimg.cn/73/21/27918667-1_b_2.jpg,TRUE,0,0
 程序设计竞赛专题挑战教程 蓝桥杯官方备赛指南（异步出品）,122,42.5,//img3m8.ddimg.cn/80/12/29496338-1_b_6.jpg,TRUE,0,0
 JavaScript高级程序设计 第4版,129,64.5,//img3m7.ddimg.cn/64/26/29120617-1_b_11.jpg,TRUE,0,0
 Vue.js 3+TypeScript完全指南,131,79.5,//img3m3.ddimg.cn/14/10/29628833-1_b_1700790625.jpg,TRUE,0,0
 Python3网络爬虫开发实战 第2版,135,69.9,//img3m3.ddimg.cn/78/36/29339223-1_b_5.jpg,TRUE,0,0
 C++ Core Guidelines解析,136,64,//img3m5.ddimg.cn/84/15/29605935-1_b_1693207202.jpg,TRUE,0,0
 我的第一本算法书,139,44.5,//img3m5.ddimg.cn/43/20/29190985-1_b_3.jpg,TRUE,0,0
 程序是怎样跑起来的（第3版）,141,29.9,//img3m7.ddimg.cn/15/11/29449347-1_b_3.jpg,TRUE,0,0
 图解HTTP,142,29.9,//img3m0.ddimg.cn/86/6/29236370-1_b_4.jpg,TRUE,0,0
 代码整洁之道,153,49.5,//img3m7.ddimg.cn/73/6/28518607-1_b_60119.jpg,TRUE,0,0
 PLC结构化文本编程一本通,154,49.5,//img3m9.ddimg.cn/29/25/29471339-1_b_10.jpg,TRUE,0,0
 循序渐进Vue.js 3前端开发实战,157,39.9,//img3m8.ddimg.cn/8/19/29347568-1_b_3.jpg,TRUE,0,0
 Python从入门到精通（第3版）,167,44.9,//img3m9.ddimg.cn/8/1/29594969-1_b_1688437727.jpg,TRUE,0,0
 Vue.js设计与实现,168,59.9,//img3m6.ddimg.cn/89/4/29366756-1_b_6.jpg,TRUE,0,0
 算法(第4版),170,64.9,//img3m1.ddimg.cn/34/2/29246911-1_b_14.jpg,TRUE,0,0
 流畅的Python（第2版）,172,99.9,//img3m0.ddimg.cn/43/33/29553820-1_b_3.jpg,TRUE,0,0
 Python数据分析与可视化项目实战,179,44.5,//img3m2.ddimg.cn/84/13/29667612-1_b_1703043887.jpg,TRUE,0,0
 C#图解教程 第5版,190,64.5,//img3m7.ddimg.cn/75/4/28488117-1_b_4.jpg,TRUE,0,0
 算法竞赛入门经典——习题与解答,202,44.9,//img3m9.ddimg.cn/55/1/29668969-1_b_1703833463.jpg,TRUE,0,0
 Effective Modern C++中文版,202,49.5,//img3m1.ddimg.cn/89/11/25273601-1_b_3.jpg,TRUE,0,0
