name,comment,price,src,是否买流量,,分组
 两魏周齐战争中的河东,0,48,//img3m7.ddimg.cn/26/17/29660327-1_b_1701658102.jpg,FALSE,1,0
 白话资治通鉴（精装全6册）,0,99,//img3m1.ddimg.cn/0/2/24026211-1_b_3.jpg,FALSE,1,0
 半小时漫画史记（1-5全5册）（史记本来就是故事会，读起来一点都不累！翻开本书，在欢声笑语中读完史记！）半小时漫画文库,0,142.4,//img3m2.ddimg.cn/63/33/29562552-1_b_1.jpg,FALSE,1,0
 史记 经典直读本（左边文言文 右边白话文，名家翻译，直观流畅 一目了然，高档纸张印刷，封面漂亮极了）,0,39.6,//img3m1.ddimg.cn/33/15/29181471-1_b_1699000726.jpg,FALSE,1,0
 半小时漫画史记2（史记本来就是故事会，读起来一点都不累！翻开本书，在欢声笑语中读完史记）半小时漫画文库,0,29.95,//img3m3.ddimg.cn/71/27/29547413-1_b_1.jpg,FALSE,1,0
 半小时漫画史记（史记本来就是故事会，读起来一点都不累！翻开本书，在欢声笑语中读完史记！）半小时漫画文库,0,29.95,//img3m7.ddimg.cn/65/21/29547407-1_b_1.jpg,FALSE,1,0
 治史三书（精装增订本）,0,24.5,//img3m1.ddimg.cn/13/31/23976031-1_b_12.jpg,FALSE,1,0
 半小时漫画史记3（史记本来就是故事会，读起来一点都不累！翻开本书，在欢声笑语中读完史记）半小时漫画文库,0,27.5,//img3m2.ddimg.cn/9/7/29556162-1_b_1.jpg,FALSE,1,0
 半小时漫画史记5（史记本来就是故事会，读起来一点都不累！翻开本书，在欢声笑语中读完史记）半小时漫画文库,0,27.5,//img3m2.ddimg.cn/85/32/29566732-1_b_3.jpg,FALSE,1,0
 半小时漫画史记4（史记本来就是故事会，读起来一点都不累！翻开本书，在欢声笑语中读完史记）半小时漫画文库,0,27.5,//img3m4.ddimg.cn/87/34/29566734-1_b_3.jpg,FALSE,1,0
 声回响转：讲稿八篇,0,34,//img3m1.ddimg.cn/53/1/29523041-1_b_2.jpg,FALSE,1,0
 史记（白话本全二册）,0,64,//img3m9.ddimg.cn/36/15/24059709-1_b_10.jpg,FALSE,1,0
 左传选,0,21,//img3m5.ddimg.cn/2/15/29139365-1_b_5.jpg,FALSE,1,0
 人类与大地母亲(汤因比著作集),0,64,//img3m5.ddimg.cn/8/12/27850985-1_b_2.jpg,FALSE,1,0
 张居正直解《资治通鉴》(上、下) 中国教科书史上经典之作 明朝两代帝师 首辅张居正 专为皇帝所著 权威解读 学术研究重要,0,69,//img3m9.ddimg.cn/42/0/29573619-1_b_1699855733.jpg,FALSE,1,0
 旧制度与大革命,0,19.9,//img3m4.ddimg.cn/5/7/24011564-1_b_15.jpg,FALSE,1,0
 极简资治通鉴 （白话精简版，历史学家张宏儒、沈志华倾力打造）,0,34,//img3m0.ddimg.cn/64/22/28558990-1_b_6.jpg,FALSE,1,0
 史记笺证（软精装全10册修订新版）,0,342,//img3m4.ddimg.cn/59/14/23906084-1_b_8.jpg,FALSE,1,0
 钱穆先生全集：国史大纲（繁体竖排全二册）,0,69,//img3m5.ddimg.cn/68/19/22549595-1_b_3.jpg,FALSE,1,0
 白话汉书【通译本】（全二册）余秋雨 策划题签，朱永新 钱文忠 鼎力推荐,0,99,//img3m2.ddimg.cn/74/27/28993412-1_b_3.jpg,FALSE,1,0
 海外中国研究·汉代农业：早期中国农业经济的形成,0,21,//img3m6.ddimg.cn/34/21/26922886-1_b_1.jpg,FALSE,1,0
 中华传统文化百部经典·张载集（精装）,0,48,//img3m8.ddimg.cn/28/31/29608948-1_b_1691826687.jpg,FALSE,1,0
 中华传统文化百部经典·周易略例（平装）,0,9,//img3m1.ddimg.cn/31/34/29608951-1_b_1691889503.jpg,FALSE,1,0
 名典名选丛书 大家读《史记》,0,34.5,//img3m0.ddimg.cn/47/11/29641340-1_b_1703057167.jpg,FALSE,1,0
 彩图全解资治通鉴（彩图精装）,0,14.9,//img3m4.ddimg.cn/87/21/23324784-1_b_3.jpg,FALSE,1,0
 左传选 甄选《左传》中精彩篇章，精心勘校，通俗化注释。插入近百幅精美插画，图文并茂，轻松读懂经典！,0,22.5,//img3m8.ddimg.cn/22/21/29563798-1_b_3.jpg,FALSE,1,0
 中华经典诵读教材-尚书（繁体竖排）,0,12,//img3m7.ddimg.cn/91/27/23563477-1_b_1697794011.jpg,FALSE,1,0
 中华传统文化百部经典·通典（平装）,0,40,//img3m7.ddimg.cn/37/3/29608957-1_b_1691889507.jpg,FALSE,1,0
 张居正直解《孟子》(上、下)中国教科书史上经典之作 明朝两代帝师 首辅张居正 专为皇帝所著 解读“四书” 之《孟子》 白,0,59,//img3m2.ddimg.cn/45/3/29573622-1_b_1699855720.jpg,FALSE,1,0
 白话史记【通译本】（全二册）余秋雨 策划题签，朱永新 钱文忠 鼎力推荐,0,89,//img3m9.ddimg.cn/91/7/28993429-1_b_2.jpg,FALSE,1,0
 中华传统文化百部经典·汉书（平装）,0,32.5,//img3m4.ddimg.cn/3/26/29603874-1_b_1689912755.jpg,FALSE,1,0
 中华传统文化百部经典·苏轼集（平装）,0,25,//img3m5.ddimg.cn/35/1/29608955-1_b_1691889503.jpg,FALSE,1,0
 史记地名考(全两册),0,59.5,//img3m4.ddimg.cn/71/21/23798384-1_b_1.jpg,FALSE,1,0
 海外中国研究·文书行政的汉帝国,0,30,//img3m9.ddimg.cn/36/7/26445609-1_b_2.jpg,FALSE,1,0
 中华传统文化百部经典·张载集（平装）,0,32.5,//img3m9.ddimg.cn/29/32/29608949-1_b_1691889504.jpg,FALSE,1,0
 宋本史记注译(共10册),0,240,//img3m9.ddimg.cn/26/32/22738049-1_b_4.jpg,FALSE,1,0
 三国志(全二册)(精)(中国史学要籍丛刊),0,54,//img3m0.ddimg.cn/86/8/24189350-1_b_5.jpg,FALSE,1,0
 史念海佚稿,0,94,//img3m7.ddimg.cn/16/36/29555377-1_b_1.jpg,FALSE,1,0
 中华传统文化百部经典·资治通鉴（平装）,0,40,//img3m1.ddimg.cn/41/7/29608961-1_b_1691826686.jpg,FALSE,1,0
 资治通鉴,0,128.7,//img3m2.ddimg.cn/38/6/28510652-1_b_7.jpg,FALSE,1,0
 三国志（全二册）,0,44,//img3m1.ddimg.cn/87/9/24189351-1_b_5.jpg,FALSE,1,0
 宽容（推荐阅读书目。一部影响深远的人类文明进化史，见证西方信仰与自由的发展历程。）,0,29.5,//img3m3.ddimg.cn/63/10/28508103-1_b_3.jpg,FALSE,1,0
 马可波罗行纪(冯承钧著译集),0,31,//img3m6.ddimg.cn/31/33/28963966-1_b_2.jpg,FALSE,1,0
